종목명,상장유형,공모가(원),상장일,상장주식수,매출총이익률,영업이익률,ROE(지배),매출액증가율(YoY),영업이익증가율(YoY),유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액,세전계속사업이익,당기순이익(지배),자본총계(지배),EBITDA2,순부채,매출액증가율(YoY)-before,영업이익증가율(YoY)-before
대정화금,신규상장,9200,2010-12-20,5537272,26.63,16.04,18.13,19.32,63.48,215.46,145.11,40.18,25.63,4.87,6.67,37172575,6089659,4928879,28120441,6234158,-530608,28.94,106.97
이브이첨단소재,신규상장,2700,2010-12-27,15000000,12.94,4.51,22.39,37.86,37.72,83.78,55.43,249.31,4.01,9.17,12.27,65140871,2178124,2212957,10804203,4237247,12899831,1.84,-32.37
인텍플러스,신규상장,7000,2011-01-05,8005000,33.44,9.52,27.88,4.79,17.57,201.68,141.26,82.39,6.48,4.84,4.46,16052680,1561277,2605439,10920683,2351949,164571,15.83,7.57
티에스이,신규상장,45000,2011-01-05,3248298,23.13,9.3,5.5,-19.88,-14.73,381.05,292.82,13.15,,5.56,9.16,60302027,5821474,4133826,77285896,11136972,-9549785,-12.77,-68.22
알서포트,신규상장,2500,2011-01-05,8620001,,,,,,,,,,,,,,,,,,,
씨그널엔터테인먼트그룹,신규상장,8500,2011-01-24,3400000,12.46,5.85,18.1,76.1,95.98,400.14,332.43,33.01,26.62,5.75,20.69,40966458,3467482,2618628,15592350,2769469,-7102935,-8.89,-69.49
다나와,신규상장,14000,2011-01-24,6600000,100,35.89,41.76,24.53,28.32,511.69,511.69,31.3,215.55,7.42,,17075146,6360063,5517438,15529520,6579067,-9149947,31.21,24.48
블루콤,신규상장,12000,2011-01-26,9600000,16.22,8.07,16.1,41.23,226.32,985.43,885.48,5.52,,4.62,20.83,78762720,7508151,9494469,62885025,7366077,-21309391,61.32,147.32
인트론바이오,신규상장,6100,2011-01-26,9163333,57.24,19.35,21.05,42.55,369.63,201.2,183.84,84.84,3.98,3.44,14.84,7833064,1154920,1205580,7069156,1938975,3964637,29.63,27.83
엘비세미콘,신규상장,4700,2011-01-31,43274592,32.12,27.81,74.65,51.32,103.88,56.5,42.78,238.54,5.29,6.35,13.62,57299493,12418671,12418671,21416292,21301164,39630765,89.69,1083.75
