종목명,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA,시장수익률,광의통화 증감률,고객예탁금 증감률,3개월 시장 회전율,공모가 대비 1개월 수익률,공모가 대비 3개월 수익률,공모가 대비 6개월 수익률
본느,0.299903951,0.076255329,0.79761433,1.523601334,1.000641619,4.97446506,23.35008828,5.937800378,9.0324477,,,47.48789059,37.87702205,24.392729,0.279341811,0.087195435,0.303673982,160.124626,0.0,-0.0075,-0.0225
유앤아이,0.630175745,0.136843929,0.167851578,1.310327389,0.868065277,2.795203243,3.162985887,2.556097087,2.311461905,0.112593667,0.347413241,135.9393647,22.8176369,74.0989576,0.231489954,0.087195435,0.340192384,157.6253116,-0.263333333,-0.173333333,-0.256666667
나무가,0.070302497,0.00814945,0.094069105,0.984188952,0.645982865,5.998475171,1.029838678,6.472511215,6.645706871,-0.004489762,-0.667480363,59.38651503,5.586436312,18.42825656,0.231489954,0.087195435,0.340192384,157.6253116,0.410810811,0.756756757,0.527027027
아이진,1.0,-19.97312861,-0.759234872,4.723780231,4.72378006,0.438377654,-98.67781008,1.56643047,,-0.173994711,-0.176713883,-46.1406698,35.03160554,-45.07045577,0.257966896,0.087195435,0.333281499,159.2250294,-0.088888889,0.581481481,0.674074074
케어젠,0.804016811,0.539071839,0.249229158,6.317905698,5.945208346,0.126561482,inf,7.364202199,14.15171739,0.351563207,0.770448552,85.92033279,21.41385219,71.95857085,0.283425581,0.087195435,0.295369992,159.2783539,-0.172727273,-0.093636364,0.085454545
네오오토,0.132175084,0.075971347,0.16199183,1.192491285,1.070229364,1.156253135,6.599393073,8.873435726,29.18175141,-0.089726792,1.217944472,9.222047133,1.493896295,2.743836174,0.271409922,0.087195435,0.307709906,159.2236695,-0.195833333,-0.15,-0.1625
엔투텍,0.197354508,-0.01213553,-0.130681756,1.000939522,0.476011874,2.802319645,-0.41487871,4.507848112,2.844116021,-0.03427892,-1.209214475,-26.35653232,3.444317925,14.39257469,0.271409922,0.087195435,0.307709906,159.2236695,-0.015,0.005,0.08
매직마이크로,0.18410424,0.080561263,0.243659957,1.228908927,0.97723413,0.934235829,6.973257236,7.204060686,15.29632307,-0.08764104,-0.075148534,6.516078325,1.587707367,3.459066737,0.26523556,0.087195435,0.341443431,158.6882107,-0.19,-0.168181818,-0.181818182
케이디켐,0.244663008,0.142950862,0.167916927,3.056708125,1.564476881,0.333234384,23.99046434,3.3483982,3.342558941,-0.019455902,0.478313772,12.01572694,2.017643946,9.64958071,0.26523556,0.087195435,0.341443431,158.6882107,-0.128125,-0.1375,0.196875
캔서롭,0.417342735,0.077192859,0.028971952,6.88653493,6.45397727,0.07280287,1.795694952,5.7941875,20.7398703,0.210459844,-19.56809907,398.8540458,11.55558042,129.885657,0.280184468,0.087195435,0.28017298,158.2005195,-0.27,-0.33625,-0.26
하이즈항공,0.259113059,0.159158576,0.214273558,0.971729336,0.869110396,1.939819019,5.368640733,14.73646354,19.98654399,0.036092906,0.663934473,86.99481324,18.64068819,47.11832742,0.248252004,0.087195435,0.325141632,157.4054276,-0.136111111,-0.441666667,-0.491666667
미래테크놀로지,0.384252166,0.267943771,0.253164186,9.239416096,8.341375576,0.104853167,inf,16.04986667,11.99557098,0.45976561,0.370928582,22.72149351,5.752268411,18.67045646,0.267272222,0.071608424,0.258501816,154.5096557,-0.133540373,-0.208074534,-0.335403727
엔에스,0.217709445,0.112226737,0.216512134,1.242647468,0.540355861,1.371985518,29.59795659,7.565482839,2.770135425,0.618998226,0.786415866,18.95155364,4.10324132,15.0849907,0.260252337,0.071608424,0.292343847,154.2065613,1.56875,0.95625,1.3875
멕아이씨에스,0.515060599,0.034756489,-0.017290289,0.560699619,0.355577772,10.08512783,0.457373495,6.15037667,3.756016434,,,-764.4724335,13.21794969,43.88301357,0.256431877,0.071608424,0.337239953,151.7882365,1.162222222,0.764444444,0.633333333
예스티,0.199513976,0.066477726,0.050225939,0.793590709,0.45038826,2.520222484,2.027404272,5.771517747,4.451927303,0.832617986,69.31264849,93.58866358,4.700578519,15.94924674,0.234110269,0.071608424,0.186805803,151.6166156,0.275862069,0.331034483,0.172413793
코스맥스엔비티,0.195555198,0.073784482,0.179980234,0.648097776,0.392471444,2.674021358,4.965224376,6.918441892,8.152490803,0.196578634,0.140127552,97.64108649,17.57346557,36.95289558,0.234110269,0.071608424,0.186805803,151.6166156,1.328571429,1.433333333,2.685714286
에치에프알,0.21779784,0.044284229,-0.020012538,1.571024963,1.30923392,0.873335122,5.315829853,1.857129545,6.961796087,-0.193817811,-0.338721154,-22.22595742,0.444797826,4.553454461,0.234110269,0.071608424,0.186805803,151.6166156,0.0425,0.075,-0.015
파크시스템스,0.552843347,-0.005291158,-0.117748168,2.447377286,1.58491718,1.979332359,-0.1360032,2.959524779,2.629096123,-0.06092857,-0.930768908,-74.46075635,8.76761764,121.0492613,0.260964995,0.071608424,0.213591785,151.547775,0.216666667,0.388888889,1.022222222
보광산업,0.417730158,0.318684498,0.204233803,0.372117993,0.331658123,1.412848798,7.339176775,8.990743973,47.06563311,-0.252131415,0.5741735,11.6944839,2.388408921,3.592890052,0.260964995,0.071608424,0.213591785,151.547775,0.8575,0.885,2.6125
메가엠디,0.630139571,0.110308301,0.11039883,0.95153261,0.912954589,0.50114398,inf,17.27532775,87.54455336,0.049295017,-0.249061265,13.76596155,1.519746055,6.691589738,0.271364119,0.071608424,0.240213221,151.4469261,0.226666667,0.415,0.225
에이치엘비제약,0.273770295,0.025252669,0.063267264,1.141748993,0.942156722,3.45243089,0.926576499,2.531607401,7.350222271,0.117353696,0.272561794,149.8867028,9.48292163,39.78258504,0.279453231,0.071608424,0.243187441,151.709617,1.176923077,0.538461538,0.324615385
강스템바이오텍,0.75979269,-21.5803565,-0.996705263,3.502186604,3.292219107,0.612190616,-117.7954432,1.603109335,0.930916066,-0.492854098,0.598713012,-18.69346074,18.63187071,-21.03301427,0.279453231,0.071608424,0.243187441,151.709617,1.708333333,1.341666667,1.958333333
아진산업,0.18039677,0.089648083,0.223181577,0.659310989,0.529576093,4.975850246,1.754749729,5.837566688,14.01308723,0.077371505,0.227472508,5.714119317,1.275286158,1.599126795,0.276426096,0.071608424,0.286393441,151.9118576,0.164615385,0.189230769,0.326153846
덱스터,0.35072832,0.253751133,0.289411662,3.698601821,3.698601821,0.280731766,48.81668453,1.722596398,,0.375100284,2.650298451,32.72562963,9.471178857,21.4817842,0.276426096,0.071608424,0.286393441,151.9118576,1.253571429,0.496428571,0.567857143
한국맥널티,0.279678683,0.02902861,0.561545943,1.270802585,0.924056509,1.244635807,1.858081356,4.488937932,6.533688035,0.262616334,-0.640583383,7.108539177,3.991771334,16.83660323,0.287365566,0.071608424,0.276931771,151.6694109,2.29375,2.0375,1.20625
휴젤,0.703620484,0.383846376,0.308162732,0.962721671,0.933011709,1.278919345,14.2561576,2.014496297,25.02236698,0.383288545,0.336999534,37.45957825,11.54364597,30.60386592,0.281193541,0.071608424,0.339816721,151.2701301,0.46,0.761333333,1.092
육일씨엔에쓰,0.146973677,0.076212901,0.158893029,0.982053437,0.815318201,2.745773452,15.38883915,6.56301091,15.87183868,-0.235330327,-0.215720278,17.77898148,2.824956214,4.615743566,0.281193541,0.071608424,0.339816721,151.2701301,0.113333333,0.445,0.073333333
